Algorithm,Time (seconds),Cost,Path,Cost length?,Start Point,Goal Point
theta_star,0.0010193750,26.68332812825267,2,37,"(30, 23)","(4, 29)"
jps,0.0014979580,28.485281374238568,3,8,"(30, 23)","(4, 29)"
lazy_theta_star,0.0008347910,26.68332812825267,2,37,"(30, 23)","(4, 29)"
a_star,0.0011765830,28.48528137423857,27,86,"(8, 10)","(34, 6)"
dijkstra,0.0127369580,28.48528137423857,27,846,"(8, 10)","(34, 6)"
theta_star,0.0006873750,27.028346407486886,4,33,"(8, 10)","(34, 6)"
jps,0.0023546250,28.48528137423857,7,10,"(8, 10)","(34, 6)"
lazy_theta_star,0.0006994580,27.028346407486886,4,33,"(8, 10)","(34, 6)"
a_star,0.0030806250,37.8700576850888,31,203,"(2, 8)","(30, 29)"
dijkstra,0.0140777080,37.87005768508881,31,935,"(2, 8)","(30, 29)"
theta_star,0.0027210000,35.80350850198276,4,117,"(2, 8)","(30, 29)"
jps,0.0029624170,37.2842712474619,12,13,"(2, 8)","(30, 29)"
lazy_theta_star,0.0027021250,35.80350850198276,4,121,"(2, 8)","(30, 29)"
a_star,0.0000405000,2.414213562373095,3,3,"(48, 24)","(49, 26)"
dijkstra,0.0002590830,2.414213562373095,3,17,"(48, 24)","(49, 26)"
theta_star,0.0000457080,2.23606797749979,2,3,"(48, 24)","(49, 26)"
jps,0.0004779580,2.414213562373095,3,3,"(48, 24)","(49, 26)"
lazy_theta_star,0.0000451250,2.23606797749979,2,3,"(48, 24)","(49, 26)"
a_star,0.0002648330,9.82842712474619,10,16,"(36, 3)","(45, 1)"
dijkstra,0.0027086660,9.82842712474619,10,176,"(36, 3)","(45, 1)"
theta_star,0.0002495000,9.219544457292887,2,10,"(36, 3)","(45, 1)"
jps,0.0006947500,9.82842712474619,3,3,"(36, 3)","(45, 1)"
lazy_theta_star,0.0001945840,9.219544457292887,2,10,"(36, 3)","(45, 1)"
a_star,0.0001435840,8.0,9,9,"(2, 10)","(2, 2)"
dijkstra,0.0016893330,8.0,9,113,"(2, 10)","(2, 2)"
theta_star,0.0002491250,8.0,2,9,"(2, 10)","(2, 2)"
jps,0.0001743750,8.0,2,2,"(2, 10)","(2, 2)"
lazy_theta_star,0.0001787500,8.0,2,9,"(2, 10)","(2, 2)"
a_star,0.0010279590,19.242640687119287,19,65,"(5, 29)","(8, 11)"
dijkstra,0.0048015000,19.242640687119287,19,315,"(5, 29)","(8, 11)"
theta_star,0.0005772090,18.24828759089466,2,20,"(5, 29)","(8, 11)"
jps,0.0007770420,19.242640687119284,3,3,"(5, 29)","(8, 11)"
lazy_theta_star,0.0004612090,18.24828759089466,2,20,"(5, 29)","(8, 11)"
a_star,0.0004554170,11.82842712474619,12,31,"(14, 20)","(19, 26)"
dijkstra,0.0039545830,11.82842712474619,12,238,"(14, 20)","(19, 26)"
theta_star,0.0008148750,11.181782043891005,3,29,"(14, 20)","(19, 26)"
jps,0.0009357910,11.242640687119286,6,7,"(14, 20)","(19, 26)"
lazy_theta_star,0.0005192920,11.181782043891005,3,29,"(14, 20)","(19, 26)"
a_star,0.0020015000,26.970562748477146,23,132,"(2, 26)","(24, 14)"
dijkstra,0.0080152500,26.970562748477146,23,547,"(2, 26)","(24, 14)"
theta_star,0.0009110830,25.116312866950693,4,40,"(2, 26)","(24, 14)"
jps,0.0021777920,26.970562748477146,11,11,"(2, 26)","(24, 14)"
lazy_theta_star,0.0009531250,25.122578381115165,4,44,"(2, 26)","(24, 14)"
a_star,0.0003776670,22.414213562373096,23,24,"(49, 10)","(27, 11)"
dijkstra,0.0072878750,22.414213562373096,23,502,"(49, 10)","(27, 11)"
theta_star,0.0005934580,22.02271554554524,2,23,"(49, 10)","(27, 11)"
jps,0.0004721670,22.414213562373096,4,4,"(49, 10)","(27, 11)"
lazy_theta_star,0.0004355000,22.02271554554524,2,23,"(49, 10)","(27, 11)"
a_star,0.0019686250,24.142135623730955,21,134,"(40, 27)","(23, 14)"
dijkstra,0.0095545420,24.142135623730955,21,630,"(40, 27)","(23, 14)"
theta_star,0.0019268750,22.417888648675955,4,91,"(40, 27)","(23, 14)"
jps,0.0020228340,22.970562748477143,9,10,"(40, 27)","(23, 14)"
lazy_theta_star,0.0020362500,22.417888648675955,4,91,"(40, 27)","(23, 14)"
a_star,0.0037819170,40.89949493661167,39,253,"(2, 27)","(40, 20)"
dijkstra,0.0148051660,40.89949493661167,39,989,"(2, 27)","(40, 20)"
theta_star,0.0032349170,38.78497965270948,4,127,"(2, 27)","(40, 20)"
jps,0.0033175420,40.89949493661167,8,15,"(2, 27)","(40, 20)"
lazy_theta_star,0.0023897090,38.78497965270948,4,104,"(2, 27)","(40, 20)"
a_star,0.0027672910,32.31370849898477,30,183,"(7, 20)","(36, 28)"
dijkstra,0.0142125830,32.31370849898477,30,941,"(7, 20)","(36, 28)"
theta_star,0.0011965830,30.502654006978275,3,52,"(7, 20)","(36, 28)"
jps,0.0046270830,32.31370849898476,8,21,"(7, 20)","(36, 28)"
lazy_theta_star,0.0010784170,30.502654006978275,3,53,"(7, 20)","(36, 28)"
a_star,0.0020588750,37.97056274847715,34,142,"(34, 15)","(1, 27)"
dijkstra,0.0205725420,37.97056274847715,34,1328,"(34, 15)","(1, 27)"
theta_star,0.0014158330,36.06657446361561,4,63,"(34, 15)","(1, 27)"
jps,0.0038399590,37.97056274847714,10,22,"(34, 15)","(1, 27)"
lazy_theta_star,0.0014530840,36.06657446361561,4,68,"(34, 15)","(1, 27)"
a_star,0.0004086660,13.242640687119287,13,31,"(37, 9)","(25, 12)"
dijkstra,0.0061705000,13.242640687119287,13,396,"(37, 9)","(25, 12)"
theta_star,0.0004152090,12.660936413601407,3,21,"(37, 9)","(25, 12)"
jps,0.0008903750,13.242640687119286,4,4,"(37, 9)","(25, 12)"
lazy_theta_star,0.0003812920,12.660936413601407,3,21,"(37, 9)","(25, 12)"
a_star,0.0002260000,7.82842712474619,8,12,"(42, 8)","(35, 6)"
dijkstra,0.0029558750,7.82842712474619,8,169,"(42, 8)","(35, 6)"
theta_star,0.0001796250,7.280109889280518,2,8,"(42, 8)","(35, 6)"
jps,0.0006310830,7.82842712474619,3,3,"(42, 8)","(35, 6)"
lazy_theta_star,0.0001664170,7.280109889280518,2,8,"(42, 8)","(35, 6)"
a_star,0.0003629170,11.071067811865476,10,25,"(44, 4)","(49, 13)"
dijkstra,0.0028452500,11.071067811865476,10,194,"(44, 4)","(49, 13)"
theta_star,0.0002525830,10.295630140987,2,10,"(44, 4)","(49, 13)"
jps,0.0008304580,11.071067811865476,3,3,"(44, 4)","(49, 13)"
lazy_theta_star,0.0002037910,10.295630140987,2,10,"(44, 4)","(49, 13)"
a_star,0.0006362920,15.828427124746192,16,39,"(27, 19)","(12, 17)"
dijkstra,0.0077725420,15.828427124746192,16,508,"(27, 19)","(12, 17)"
theta_star,0.0003739580,15.132745950421556,2,16,"(27, 19)","(12, 17)"
jps,0.0003091250,15.82842712474619,3,3,"(27, 19)","(12, 17)"
lazy_theta_star,0.0003127080,15.132745950421556,2,16,"(27, 19)","(12, 17)"
a_star,0.0012518340,18.89949493661167,17,80,"(36, 22)","(47, 10)"
dijkstra,0.0089139170,18.899494936611667,17,598,"(36, 22)","(47, 10)"
theta_star,0.0013717920,17.628983599734454,3,62,"(36, 22)","(47, 10)"
jps,0.0017642500,18.31370849898476,6,9,"(36, 22)","(47, 10)"
lazy_theta_star,0.0012984580,17.628983599734454,3,62,"(36, 22)","(47, 10)"
a_star,0.0002573330,10.485281374238571,9,17,"(16, 3)","(24, 9)"
dijkstra,0.0020607920,10.485281374238571,9,142,"(16, 3)","(24, 9)"
theta_star,0.0002458340,10.0,2,9,"(16, 3)","(24, 9)"
jps,0.0010549590,10.485281374238571,4,4,"(16, 3)","(24, 9)"
lazy_theta_star,0.0001785420,10.0,2,9,"(16, 3)","(24, 9)"
a_star,0.0008472910,17.656854249492383,17,59,"(38, 10)","(22, 6)"
dijkstra,0.0088370830,17.656854249492383,17,571,"(38, 10)","(22, 6)"
theta_star,0.0004832500,16.492422502470642,2,19,"(38, 10)","(22, 6)"
jps,0.0017148750,17.65685424949238,4,7,"(38, 10)","(22, 6)"
lazy_theta_star,0.0003955000,16.492422502470642,2,19,"(38, 10)","(22, 6)"
a_star,0.0073431250,57.355339059327356,48,470,"(2, 27)","(49, 2)"
dijkstra,0.0203585000,57.35533905932735,48,1338,"(2, 27)","(49, 2)"
theta_star,0.0027662500,53.49552594945995,4,114,"(2, 27)","(49, 2)"
jps,0.0129753330,57.35533905932738,14,59,"(2, 27)","(49, 2)"
lazy_theta_star,0.0027330830,53.50287791747183,5,126,"(2, 27)","(49, 2)"
a_star,0.0048996670,35.21320343559643,30,326,"(30, 2)","(10, 24)"
dijkstra,0.0187623330,35.21320343559643,30,1239,"(30, 2)","(10, 24)"
theta_star,0.0061365830,33.053795906522055,6,279,"(30, 2)","(10, 24)"
jps,0.0056590840,34.04163056034262,11,31,"(30, 2)","(10, 24)"
lazy_theta_star,0.0062821250,32.83956258671067,7,276,"(30, 2)","(10, 24)"
a_star,0.0025903750,30.55634918610405,27,182,"(9, 10)","(27, 29)"
dijkstra,0.0135181670,30.55634918610405,27,925,"(9, 10)","(27, 29)"
theta_star,0.0014297920,27.815080599244023,4,70,"(9, 10)","(27, 29)"
jps,0.0040095420,29.38477631085024,9,22,"(9, 10)","(27, 29)"
lazy_theta_star,0.0015665410,27.912374513148396,5,75,"(9, 10)","(27, 29)"
a_star,0.0004582920,14.899494936611667,13,34,"(16, 12)","(5, 20)"
dijkstra,0.0071410000,14.899494936611667,13,446,"(16, 12)","(5, 20)"
theta_star,0.0004285420,13.94427190999916,3,21,"(16, 12)","(5, 20)"
jps,0.0009040410,14.31370849898476,5,5,"(16, 12)","(5, 20)"
lazy_theta_star,0.0004719580,13.94427190999916,3,24,"(16, 12)","(5, 20)"
a_star,0.0082105000,48.071067811865476,47,505,"(4, 13)","(47, 17)"
dijkstra,0.0187189590,48.071067811865476,47,1279,"(4, 13)","(47, 17)"
theta_star,0.0118111250,46.75817272150094,3,509,"(4, 13)","(47, 17)"
jps,0.0138711670,47.485281374238575,8,65,"(4, 13)","(47, 17)"
lazy_theta_star,0.0126319170,46.75817272150094,3,513,"(4, 13)","(47, 17)"
a_star,0.0002685840,10.65685424949238,10,20,"(26, 21)","(28, 28)"
dijkstra,0.0031849170,10.65685424949238,10,218,"(26, 21)","(28, 28)"
theta_star,0.0003203750,10.16227766016838,4,17,"(26, 21)","(28, 28)"
jps,0.0010872080,10.071067811865476,7,7,"(26, 21)","(28, 28)"
lazy_theta_star,0.0003765840,10.16227766016838,4,20,"(26, 21)","(28, 28)"
a_star,0.0090714590,50.455844122715696,44,591,"(39, 29)","(5, 2)"
dijkstra,0.0199000420,50.455844122715696,44,1325,"(39, 29)","(5, 2)"
theta_star,0.0080705420,46.657224762609296,5,373,"(39, 29)","(5, 2)"
jps,0.0107056250,48.698484809835,13,54,"(39, 29)","(5, 2)"
lazy_theta_star,0.0080769590,46.657224762609296,5,377,"(39, 29)","(5, 2)"
a_star,0.0024050830,32.14213562373095,29,173,"(15, 7)","(1, 1)"
dijkstra,0.0164497500,32.14213562373095,29,1088,"(15, 7)","(1, 1)"
theta_star,0.0030558340,31.1914132820002,5,154,"(15, 7)","(1, 1)"
jps,0.0024525830,30.38477631085024,8,10,"(15, 7)","(1, 1)"
lazy_theta_star,0.0028256670,30.605626844373298,6,148,"(15, 7)","(1, 1)"
a_star,0.0012789160,16.313708498984763,14,88,"(38, 15)","(48, 18)"
dijkstra,0.0086439170,16.313708498984763,14,571,"(38, 15)","(48, 18)"
theta_star,0.0015019580,15.467176095586215,4,73,"(38, 15)","(48, 18)"
jps,0.0016017500,15.727922061357855,6,8,"(38, 15)","(48, 18)"
lazy_theta_star,0.0014367500,15.467176095586215,4,74,"(38, 15)","(48, 18)"
a_star,0.0005232920,15.828427124746192,16,35,"(17, 15)","(2, 13)"
dijkstra,0.0077081670,15.828427124746192,16,512,"(17, 15)","(2, 13)"
theta_star,0.0003766250,15.132745950421556,2,16,"(17, 15)","(2, 13)"
jps,0.0004572920,15.82842712474619,3,4,"(17, 15)","(2, 13)"
lazy_theta_star,0.0002989170,15.132745950421556,2,16,"(17, 15)","(2, 13)"
a_star,0.0029509160,41.071067811865476,40,186,"(45, 23)","(7, 29)"
dijkstra,0.0161514170,41.071067811865476,40,1062,"(45, 23)","(7, 29)"
theta_star,0.0015143750,39.04996767729586,3,51,"(45, 23)","(7, 29)"
jps,0.0016813330,40.485281374238575,4,7,"(45, 23)","(7, 29)"
lazy_theta_star,0.0010925000,39.04996767729586,3,51,"(45, 23)","(7, 29)"
a_star,0.0036855420,30.07106781186548,29,231,"(19, 26)","(7, 5)"
dijkstra,0.0162495410,30.07106781186548,29,1074,"(19, 26)","(7, 5)"
theta_star,0.0036416670,28.551076785185387,3,175,"(19, 26)","(7, 5)"
jps,0.0054067920,29.48528137423857,7,30,"(19, 26)","(7, 5)"
lazy_theta_star,0.0034308750,28.551076785185387,3,175,"(19, 26)","(7, 5)"
a_star,0.0007760410,15.485281374238571,14,53,"(44, 3)","(31, 9)"
dijkstra,0.0042654580,15.485281374238571,14,291,"(44, 3)","(31, 9)"
theta_star,0.0005097500,14.317821063276353,2,20,"(44, 3)","(31, 9)"
jps,0.0012010830,15.48528137423857,4,4,"(44, 3)","(31, 9)"
lazy_theta_star,0.0004461670,14.317821063276353,2,20,"(44, 3)","(31, 9)"
a_star,0.0034891670,32.48528137423857,31,233,"(22, 1)","(5, 2)"
dijkstra,0.0163345830,32.48528137423857,31,1098,"(22, 1)","(5, 2)"
theta_star,0.0043372920,31.046896828981673,4,209,"(22, 1)","(5, 2)"
jps,0.0039032500,31.313708498984763,7,15,"(22, 1)","(5, 2)"
lazy_theta_star,0.0041221660,31.046896828981673,4,210,"(22, 1)","(5, 2)"
a_star,0.0024847920,36.72792206135785,34,177,"(6, 9)","(39, 18)"
dijkstra,0.0152620000,36.72792206135785,34,1024,"(6, 9)","(39, 18)"
theta_star,0.0024154580,34.66329922402129,4,106,"(6, 9)","(39, 18)"
jps,0.0044671250,36.72792206135785,9,25,"(6, 9)","(39, 18)"
lazy_theta_star,0.0021434160,34.66329922402129,4,106,"(6, 9)","(39, 18)"
a_star,0.0007227920,13.65685424949238,13,54,"(15, 18)","(15, 12)"
dijkstra,0.0054748750,13.65685424949238,13,359,"(15, 18)","(15, 12)"
theta_star,0.0009841670,12.733433128760744,4,50,"(15, 18)","(15, 12)"
jps,0.0009852090,12.485281374238571,7,8,"(15, 18)","(15, 12)"
lazy_theta_star,0.0009727910,12.733433128760744,4,53,"(15, 18)","(15, 12)"
a_star,0.0001166670,5.82842712474619,6,8,"(20, 7)","(22, 2)"
dijkstra,0.0013457500,5.82842712474619,6,89,"(20, 7)","(22, 2)"
theta_star,0.0001447500,5.385164807134504,2,6,"(20, 7)","(22, 2)"
jps,0.0005902500,5.82842712474619,3,3,"(20, 7)","(22, 2)"
lazy_theta_star,0.0001095830,5.385164807134504,2,6,"(20, 7)","(22, 2)"
a_star,0.0030761670,33.97056274847714,30,210,"(13, 7)","(39, 22)"
dijkstra,0.0164497910,33.97056274847715,30,1079,"(13, 7)","(39, 22)"
theta_star,0.0022893330,31.40770209922041,4,107,"(13, 7)","(39, 22)"
jps,0.0052032080,33.384776310850235,11,26,"(13, 7)","(39, 22)"
lazy_theta_star,0.0023464170,31.40770209922041,4,110,"(13, 7)","(39, 22)"
a_star,0.0007362080,16.313708498984763,14,51,"(29, 4)","(42, 12)"
dijkstra,0.0063558750,16.313708498984763,14,430,"(29, 4)","(42, 12)"
theta_star,0.0004393750,15.264337522473747,2,16,"(29, 4)","(42, 12)"
jps,0.0010622500,16.31370849898476,5,5,"(29, 4)","(42, 12)"
lazy_theta_star,0.0003270000,15.264337522473747,2,16,"(29, 4)","(42, 12)"
a_star,0.0003003330,13.727922061357859,11,19,"(31, 1)","(41, 10)"
dijkstra,0.0036408750,13.727922061357859,11,241,"(31, 1)","(41, 10)"
theta_star,0.0003579160,13.45362404707371,2,14,"(31, 1)","(41, 10)"
jps,0.0008402910,13.727922061357855,4,4,"(31, 1)","(41, 10)"
lazy_theta_star,0.0002787500,13.45362404707371,2,14,"(31, 1)","(41, 10)"
a_star,0.0072803330,54.11269837220807,46,464,"(2, 26)","(47, 4)"
dijkstra,0.0195547500,54.11269837220807,46,1319,"(2, 26)","(47, 4)"
theta_star,0.0019902080,50.19186787583227,4,81,"(2, 26)","(47, 4)"
jps,0.0120760410,54.112698372208094,14,59,"(2, 26)","(47, 4)"
lazy_theta_star,0.0021163750,50.20248561319635,5,97,"(2, 26)","(47, 4)"
a_star,0.0005410000,14.071067811865477,13,40,"(7, 21)","(19, 26)"
dijkstra,0.0050267500,14.071067811865477,13,344,"(7, 21)","(19, 26)"
theta_star,0.0003653750,13.092384255969128,3,16,"(7, 21)","(19, 26)"
jps,0.0010725830,14.071067811865476,5,5,"(7, 21)","(19, 26)"
lazy_theta_star,0.0003020000,13.092384255969128,3,16,"(7, 21)","(19, 26)"
a_star,0.0040002500,39.69848480983499,32,262,"(48, 2)","(19, 25)"
dijkstra,0.0138858750,39.69848480983499,32,951,"(48, 2)","(19, 25)"
theta_star,0.0043125830,37.86919807911629,5,173,"(48, 2)","(19, 25)"
jps,0.0046735000,39.112698372208094,14,19,"(48, 2)","(19, 25)"
lazy_theta_star,0.0045300420,37.86919807911629,5,181,"(48, 2)","(19, 25)"
a_star,0.0015208750,30.242640687119287,30,106,"(39, 18)","(10, 15)"
dijkstra,0.0157147920,30.242640687119287,30,1020,"(39, 18)","(10, 15)"
theta_star,0.0016449170,29.357851698709666,4,71,"(39, 18)","(10, 15)"
jps,0.0012997500,30.242640687119287,5,8,"(39, 18)","(10, 15)"
lazy_theta_star,0.0019406670,29.634937641390394,4,94,"(39, 18)","(10, 15)"
a_star,0.0003143340,10.82842712474619,11,19,"(24, 26)","(34, 28)"
dijkstra,0.0030405000,10.82842712474619,11,210,"(24, 26)","(34, 28)"
theta_star,0.0002646660,10.198039027185569,2,11,"(24, 26)","(34, 28)"
jps,0.0005129160,10.82842712474619,3,3,"(24, 26)","(34, 28)"
lazy_theta_star,0.0002147500,10.198039027185569,2,11,"(24, 26)","(34, 28)"
a_star,0.0029164160,28.656854249492383,28,174,"(7, 4)","(18, 2)"
dijkstra,0.0088462920,28.656854249492383,28,609,"(7, 4)","(18, 2)"
theta_star,0.0034261250,27.499654346573404,4,168,"(7, 4)","(18, 2)"
jps,0.0018878750,27.48528137423857,8,9,"(7, 4)","(18, 2)"
lazy_theta_star,0.0032142920,27.499654346573404,4,168,"(7, 4)","(18, 2)"
a_star,0.0023100840,23.89949493661167,22,151,"(46, 25)","(28, 15)"
dijkstra,0.0078359580,23.89949493661167,22,537,"(46, 25)","(28, 15)"
theta_star,0.0030608330,23.206555615733702,4,139,"(46, 25)","(28, 15)"
jps,0.0026450830,22.72792206135786,9,11,"(46, 25)","(28, 15)"
lazy_theta_star,0.0030358750,23.206555615733702,4,140,"(46, 25)","(28, 15)"
a_star,0.0006510000,12.242640687119286,12,42,"(34, 26)","(24, 22)"
dijkstra,0.0035021250,12.242640687119286,12,242,"(34, 26)","(24, 22)"
theta_star,0.0005955420,11.44030650891055,3,29,"(34, 26)","(24, 22)"
jps,0.0010952500,11.65685424949238,4,4,"(34, 26)","(24, 22)"
lazy_theta_star,0.0005858750,11.44030650891055,3,29,"(34, 26)","(24, 22)"
a_star,0.0029124160,26.727922061357862,24,194,"(26, 2)","(12, 20)"
dijkstra,0.0123174170,26.72792206135786,24,824,"(26, 2)","(12, 20)"
theta_star,0.0032040840,24.699498166721042,3,145,"(26, 2)","(12, 20)"
jps,0.0039129580,26.14213562373095,8,20,"(26, 2)","(12, 20)"
lazy_theta_star,0.0031190420,24.699498166721042,3,145,"(26, 2)","(12, 20)"
a_star,0.0004850000,13.071067811865477,12,36,"(49, 5)","(44, 16)"
dijkstra,0.0025395830,13.071067811865477,12,180,"(49, 5)","(44, 16)"
theta_star,0.0003701670,12.083045973594572,2,16,"(49, 5)","(44, 16)"
jps,0.0010410000,13.071067811865476,4,4,"(49, 5)","(44, 16)"
lazy_theta_star,0.0003077500,12.083045973594572,2,16,"(49, 5)","(44, 16)"
a_star,0.0018746250,27.55634918610405,24,132,"(19, 8)","(3, 24)"
dijkstra,0.0163328750,27.55634918610405,24,1072,"(19, 8)","(3, 24)"
theta_star,0.0016874160,25.59625879222498,4,82,"(19, 8)","(3, 24)"
jps,0.0024064170,26.38477631085024,9,12,"(19, 8)","(3, 24)"
lazy_theta_star,0.0016440000,25.59625879222498,4,85,"(19, 8)","(3, 24)"
a_star,0.0006835420,18.55634918610405,15,49,"(35, 18)","(49, 7)"
dijkstra,0.0107088340,18.55634918610405,15,713,"(35, 18)","(49, 7)"
theta_star,0.0007767090,17.84124836366263,3,34,"(35, 18)","(49, 7)"
jps,0.0012344160,18.556349186104043,5,5,"(35, 18)","(49, 7)"
lazy_theta_star,0.0006114160,17.84124836366263,3,27,"(35, 18)","(49, 7)"
a_star,0.0002217920,19.0,20,20,"(42, 1)","(23, 1)"
dijkstra,0.0053985420,19.0,20,375,"(42, 1)","(23, 1)"
theta_star,0.0003525000,19.0,2,20,"(42, 1)","(23, 1)"
jps,0.0004232500,19.0,2,2,"(42, 1)","(23, 1)"
lazy_theta_star,0.0002825000,19.0,2,20,"(42, 1)","(23, 1)"
a_star,0.0008033330,19.07106781186548,18,57,"(12, 18)","(24, 8)"
dijkstra,0.0088540830,19.071067811865476,18,601,"(12, 18)","(24, 8)"
theta_star,0.0006820000,17.911115550094653,3,34,"(12, 18)","(24, 8)"
jps,0.0012238750,18.48528137423857,8,9,"(12, 18)","(24, 8)"
lazy_theta_star,0.0006610000,17.911115550094653,3,35,"(12, 18)","(24, 8)"
a_star,0.0030320000,30.89949493661167,29,211,"(10, 13)","(34, 24)"
dijkstra,0.0149588340,30.89949493661167,29,1000,"(10, 13)","(34, 24)"
theta_star,0.0033858750,29.192186558305618,4,163,"(10, 13)","(34, 24)"
jps,0.0050415410,29.72792206135786,10,29,"(10, 13)","(34, 24)"
lazy_theta_star,0.0034350000,29.192186558305618,4,164,"(10, 13)","(34, 24)"
a_star,0.0020690000,32.55634918610405,29,124,"(7, 8)","(34, 2)"
dijkstra,0.0132627910,32.55634918610405,29,900,"(7, 8)","(34, 2)"
theta_star,0.0013087080,30.885957664212523,4,59,"(7, 8)","(34, 2)"
jps,0.0026186250,31.970562748477143,8,11,"(7, 8)","(34, 2)"
lazy_theta_star,0.0011462500,30.885957664212523,4,60,"(7, 8)","(34, 2)"
a_star,0.0002510840,15.0,16,16,"(39, 8)","(39, 23)"
dijkstra,0.0066291250,15.0,16,431,"(39, 8)","(39, 23)"
theta_star,0.0004285000,15.0,2,16,"(39, 8)","(39, 23)"
jps,0.0004122080,15.0,2,2,"(39, 8)","(39, 23)"
lazy_theta_star,0.0003204580,15.0,2,16,"(39, 8)","(39, 23)"
a_star,0.0021971670,34.31370849898477,32,152,"(9, 6)","(35, 19)"
dijkstra,0.0135718330,34.31370849898477,32,917,"(9, 6)","(35, 19)"
theta_star,0.0014180000,32.28604651782063,4,62,"(9, 6)","(35, 19)"
jps,0.0033410000,33.72792206135786,10,20,"(9, 6)","(35, 19)"
lazy_theta_star,0.0012570000,32.28604651782063,4,63,"(9, 6)","(35, 19)"
a_star,0.0000397910,2.0,3,3,"(7, 8)","(7, 6)"
dijkstra,0.0001713330,2.0,3,11,"(7, 8)","(7, 6)"
theta_star,0.0000505840,2.0,2,3,"(7, 8)","(7, 6)"
jps,0.0002620830,2.0,2,2,"(7, 8)","(7, 6)"
lazy_theta_star,0.0000487090,2.0,2,3,"(7, 8)","(7, 6)"
a_star,0.0077242080,51.14213562373095,48,494,"(1, 18)","(48, 14)"
dijkstra,0.0187964580,51.14213562373095,48,1268,"(1, 18)","(48, 14)"
theta_star,0.0098467910,48.70161162393696,5,395,"(1, 18)","(48, 14)"
jps,0.0156621660,51.14213562373095,10,72,"(1, 18)","(48, 14)"
lazy_theta_star,0.0103142920,48.70161162393696,5,402,"(1, 18)","(48, 14)"
a_star,0.0037223750,31.97056274847715,28,249,"(34, 1)","(11, 17)"
dijkstra,0.0147114170,31.97056274847715,28,989,"(34, 1)","(11, 17)"
theta_star,0.0053932500,30.750520384864856,4,234,"(34, 1)","(11, 17)"
jps,0.0030786670,30.798989873223334,9,14,"(34, 1)","(11, 17)"
lazy_theta_star,0.0057726250,30.868506223164246,5,238,"(34, 1)","(11, 17)"
a_star,0.0041820000,47.48528137423857,46,277,"(44, 22)","(2, 19)"
dijkstra,0.0183342920,47.48528137423857,46,1226,"(44, 22)","(2, 19)"
theta_star,0.0023050410,45.548822059175635,5,100,"(44, 22)","(2, 19)"
jps,0.0035857080,46.89949493661166,10,18,"(44, 22)","(2, 19)"
lazy_theta_star,0.0029805840,45.7917287535131,6,130,"(44, 22)","(2, 19)"
a_star,0.0006399170,15.071067811865477,14,46,"(21, 15)","(34, 20)"
dijkstra,0.0081187500,15.071067811865477,14,523,"(21, 15)","(34, 20)"
theta_star,0.0003370420,13.958968935504718,3,15,"(21, 15)","(34, 20)"
jps,0.0007894580,15.071067811865476,5,6,"(21, 15)","(34, 20)"
lazy_theta_star,0.0002828340,13.958968935504718,3,15,"(21, 15)","(34, 20)"
a_star,0.0007633340,21.242640687119287,21,54,"(19, 15)","(39, 18)"
dijkstra,0.0138318750,21.242640687119287,21,907,"(19, 15)","(39, 18)"
theta_star,0.0006312910,20.318514699685817,3,30,"(19, 15)","(39, 18)"
jps,0.0014695000,21.242640687119287,6,10,"(19, 15)","(39, 18)"
lazy_theta_star,0.0005242500,20.318514699685817,3,30,"(19, 15)","(39, 18)"
a_star,0.0001386250,8.0,9,9,"(39, 13)","(31, 13)"
dijkstra,0.0022814590,8.0,9,153,"(39, 13)","(31, 13)"
theta_star,0.0001995000,8.0,2,9,"(39, 13)","(31, 13)"
jps,0.0002482920,8.0,2,2,"(39, 13)","(31, 13)"
lazy_theta_star,0.0005574170,8.0,2,9,"(39, 13)","(31, 13)"
a_star,0.0001908340,11.414213562373096,12,12,"(22, 24)","(11, 25)"
dijkstra,0.0037687500,11.414213562373096,12,259,"(22, 24)","(11, 25)"
theta_star,0.0002805840,11.045361017187261,2,12,"(22, 24)","(11, 25)"
jps,0.0004543750,11.414213562373096,3,3,"(22, 24)","(11, 25)"
lazy_theta_star,0.0002356670,11.045361017187261,2,12,"(22, 24)","(11, 25)"
a_star,0.0004738750,14.242640687119284,14,31,"(10, 23)","(12, 11)"
dijkstra,0.0050449590,14.242640687119286,14,340,"(10, 23)","(12, 11)"
theta_star,0.0005153330,13.414213562373096,4,26,"(10, 23)","(12, 11)"
jps,0.0013898750,13.65685424949238,6,7,"(10, 23)","(12, 11)"
lazy_theta_star,0.0005313750,13.414213562373096,4,27,"(10, 23)","(12, 11)"
a_star,0.0003044580,18.414213562373096,19,19,"(42, 28)","(24, 29)"
dijkstra,0.0054574580,18.414213562373096,19,375,"(42, 28)","(24, 29)"
theta_star,0.0004061250,18.027756377319946,2,19,"(42, 28)","(24, 29)"
jps,0.0007617500,18.414213562373096,3,3,"(42, 28)","(24, 29)"
lazy_theta_star,0.0003357080,18.027756377319946,2,19,"(42, 28)","(24, 29)"
a_star,0.0004784170,13.899494936611667,12,36,"(14, 11)","(23, 20)"
dijkstra,0.0055375830,13.899494936611667,12,348,"(14, 11)","(23, 20)"
theta_star,0.0005694160,13.074461222042206,3,26,"(14, 11)","(23, 20)"
jps,0.0008615000,13.313708498984761,7,7,"(14, 11)","(23, 20)"
