Algorithm,Time (seconds),Cost,Path,Cost length?,Start Point,Goal Point
jps,0.0041152920,13.656854249492381,7,15,"(21, 26)","(26, 15)"
lazy_theta_star,0.0015673750,13.40175425099138,3,57,"(21, 26)","(26, 15)"
a_star,0.0022264590,26.313708498984763,24,140,"(43, 28)","(35, 5)"
dijkstra,0.0098162920,26.313708498984763,24,632,"(43, 28)","(35, 5)"
theta_star,0.0011441660,24.351591323771842,2,36,"(43, 28)","(35, 5)"
jps,0.0046654580,26.313708498984763,8,16,"(43, 28)","(35, 5)"
lazy_theta_star,0.0008778750,24.351591323771842,2,36,"(43, 28)","(35, 5)"
a_star,0.0007290410,14.656854249492381,14,43,"(41, 23)","(28, 27)"
dijkstra,0.0053356250,14.656854249492383,14,346,"(41, 23)","(28, 27)"
theta_star,0.0004461250,13.601470508735444,2,16,"(41, 23)","(28, 27)"
jps,0.0006297090,14.65685424949238,3,3,"(41, 23)","(28, 27)"
lazy_theta_star,0.0003579170,13.601470508735444,2,16,"(41, 23)","(28, 27)"
a_star,0.0031382500,27.55634918610405,24,191,"(17, 5)","(35, 21)"
dijkstra,0.0265311670,27.55634918610405,24,886,"(17, 5)","(35, 21)"
theta_star,0.0037305830,25.597143900169428,3,123,"(17, 5)","(35, 21)"
jps,0.0077676670,26.97056274847714,10,21,"(17, 5)","(35, 21)"
lazy_theta_star,0.0031725000,25.597143900169428,3,125,"(17, 5)","(35, 21)"
a_star,0.0046108750,46.970562748477136,43,287,"(6, 7)","(47, 2)"
dijkstra,0.0233795840,46.970562748477136,43,1254,"(6, 7)","(47, 2)"
theta_star,0.0021092500,44.117353191007794,5,88,"(6, 7)","(47, 2)"
jps,0.0045491250,46.384776310850235,8,18,"(6, 7)","(47, 2)"
lazy_theta_star,0.0018004170,44.117353191007794,5,86,"(6, 7)","(47, 2)"
a_star,0.0085013340,49.870057685088796,43,529,"(38, 29)","(4, 2)"
dijkstra,0.0207351250,49.870057685088796,43,1329,"(38, 29)","(4, 2)"
theta_star,0.0067434170,46.14618908796479,5,308,"(38, 29)","(4, 2)"
jps,0.0087303750,48.11269837220809,13,43,"(38, 29)","(4, 2)"
lazy_theta_star,0.0069735410,46.14618908796479,5,313,"(38, 29)","(4, 2)"
a_star,0.0010400830,17.48528137423857,16,65,"(32, 5)","(47, 11)"
dijkstra,0.0079650000,17.48528137423857,16,498,"(32, 5)","(47, 11)"
theta_star,0.0006359580,16.15549442140351,2,22,"(32, 5)","(47, 11)"
jps,0.0013860840,17.485281374238568,5,5,"(32, 5)","(47, 11)"
lazy_theta_star,0.0005094160,16.15549442140351,2,22,"(32, 5)","(47, 11)"
a_star,0.0043928750,33.798989873223334,29,252,"(31, 29)","(7, 11)"
dijkstra,0.0186123750,33.798989873223334,29,1194,"(31, 29)","(7, 11)"
theta_star,0.0036476670,31.563223193645662,4,164,"(31, 29)","(7, 11)"
jps,0.0035952910,32.62741699796952,10,21,"(31, 29)","(7, 11)"
lazy_theta_star,0.0040245420,31.676867017993466,5,164,"(31, 29)","(7, 11)"
a_star,0.0004195000,16.82842712474619,17,30,"(32, 11)","(16, 13)"
dijkstra,0.0092223750,16.82842712474619,17,580,"(32, 11)","(16, 13)"
theta_star,0.0004367500,16.1245154965971,2,17,"(32, 11)","(16, 13)"
jps,0.0005719590,16.82842712474619,5,5,"(32, 11)","(16, 13)"
lazy_theta_star,0.0003204590,16.1245154965971,2,17,"(32, 11)","(16, 13)"
a_star,0.0003033750,10.82842712474619,11,19,"(8, 17)","(6, 27)"
dijkstra,0.0039792910,10.82842712474619,11,261,"(8, 17)","(6, 27)"
theta_star,0.0002687920,10.198039027185569,2,11,"(8, 17)","(6, 27)"
jps,0.0006081670,10.82842712474619,3,3,"(8, 17)","(6, 27)"
lazy_theta_star,0.0002312910,10.198039027185569,2,11,"(8, 17)","(6, 27)"
a_star,0.0042295830,32.72792206135786,30,269,"(31, 6)","(5, 4)"
dijkstra,0.0189660420,32.72792206135786,30,1188,"(31, 6)","(5, 4)"
theta_star,0.0057459170,31.06225774829855,4,249,"(31, 6)","(5, 4)"
